movies_title(3, FourRooms1995)
movies_title(6, ShanghaiTriadYaoayaoyaodaowaipoqiao1995)
movies_title(13, MightyAphrodite1995)
movies_title(9, DeadManWalking1995)
movies_title(25, BirdcageThe1996)
movies_title(26, BrothersMcMullenThe1995)
movies_title(15, MrHollandsOpus1995)
movies_title(18, WhiteBalloonThe1995)
movies_title(19, AntoniasLine1995)
movies_title(27, BadBoys1995)
movies_title(40, ToWongFooThanksforEverythingJulieNewmar1995)
movies_title(41, BillyMadison1995)
movies_title(42, Clerks1994)
movies_title(38, NetThe1995)
movies_title(11, SevenSe7en1995)
movies_title(12, UsualSuspectsThe1995)
movies_title(16, FrenchTwistGazonmaudit1995)
movies_title(30, Belledejour1967)
movies_title(37, Nadja1994)
movies_title(46, Exotica1994)
movies_title(52, MadnessofKingGeorgeThe1994)
movies_title(10, RichardIII1995)
movies_title(14, PostinoIl1994)
movies_title(23, TaxiDriver1976)
movies_title(7, TwelveMonkeys1995)
movies_title(57, Priest1994)
movies_title(79, FugitiveThe1993)
movies_title(58, QuizShow1994)
movies_title(68, CrowThe1994)
movies_title(67, AceVenturaPetDetective1994)
movies_title(59, ThreeColorsRed1994)
movies_title(60, ThreeColorsBlue1993)
movies_title(61, ThreeColorsWhite1994)
movies_title(64, ShawshankRedemptionThe1994)
movies_title(86, RemainsoftheDayThe1993)
movies_title(87, SearchingforBobbyFischer1993)
movies_title(77, FirmThe1993)
movies_title(98, SilenceoftheLambsThe1991)
movies_title(106, Diabolique1996)
movies_title(62, Stargate1994)
movies_title(82, JurassicPark1993)
movies_title(56, PulpFiction1994)
movies_title(85, RefThe1994)
movies_title(96, Terminator2JudgmentDay1991)
movies_title(104, TheodoreRex1995)
movies_title(105, SgtBilko1996)
movies_title(66, WhileYouWereSleeping1995)
movies_title(94, HomeAlone1990)
movies_title(78, FreeWilly1993)
movies_title(100, Fargo1996)
movies_title(76, CarlitosWay1993)
movies_title(65, WhatsEatingGilbertGrape1993)
movies_title(93, WelcometotheDollhouse1995)
movies_title(74, FasterPussycatKillKill1965)
movies_title(107, MollFlanders1996)
movies_title(113, HorsemanontheRoofTheHussardsurletoitLe1995)
movies_title(128, Supercop1992)
movies_title(144, DieHard1988)
movies_title(156, ReservoirDogs1992)
movies_title(108, KidsintheHallBrainCandy1996)
movies_title(126, SpitfireGrillThe1996)
movies_title(134, CitizenKane1941)
movies_title(136, MrSmithGoestoWashington1939)
movies_title(116, ColdComfortFarm1995)
movies_title(122, CableGuyThe1996)
movies_title(137, BigNight1996)
movies_title(146, UnhooktheStars1996)
movies_title(147, LongKissGoodnightThe1996)
movies_title(117, RockThe1996)
movies_title(153, FishCalledWandaA1988)
movies_title(154, MontyPythonsLifeofBrian1979)
movies_title(120, Striptease1996)
movies_title(111, TruthAboutCatsDogsThe1996)
movies_title(118, Twister1996)
movies_title(145, LawnmowerManThe1992)
movies_title(149, Jude1996)
movies_title(124, LoneStar1996)
movies_title(157, Platoon1986)
movies_title(129, Bound1996)
movies_title(125, Phenomenon1996)
movies_title(131, BreakfastatTiffanys1961)
movies_title(150, Swingers1996)
movies_title(160, GlengarryGlenRoss1992)
movies_title(162, OnGoldenPond1981)
movies_title(198, NikitaLaFemmeNikita1990)
movies_title(159, BasicInstinct1992)
movies_title(165, JeandeFlorette1986)
movies_title(185, Psycho1960)
movies_title(166, ManonoftheSpringManondessources1986)
movies_title(178, 12AngryMen1957)
movies_title(195, TerminatorThe1984)
movies_title(260, EventHorizon1997)
movies_title(192, RagingBull1980)
movies_title(193, RightStuffThe1983)
movies_title(196, DeadPoetsSociety1989)
movies_title(164, AbyssThe1989)
movies_title(191, Amadeus1984)
movies_title(158, WeekendatBernies1989)
movies_title(182, GoodFellas1990)
movies_title(187, GodfatherPartIIThe1974)
movies_title(174, RaidersoftheLostArk1981)
movies_title(197, GraduateThe1967)
movies_title(207, CyranodeBergerac1990)
movies_title(163, ReturnofthePinkPantherThe1974)
movies_title(161, TopGun1986)
movies_title(167, PrivateBenjamin1980)
movies_title(168, MontyPythonandtheHolyGrail1974)
movies_title(169, WrongTrousersThe1993)
movies_title(212, UnbearableLightnessofBeingThe1988)
movies_title(215, FieldofDreams1989)
movies_title(238, RaisingArizona1987)
movies_title(221, BreakingtheWaves1996)
movies_title(224, Ridicule1996)
movies_title(236, CitizenRuth1996)
movies_title(213, RoomwithaViewA1986)
movies_title(237, JerryMaguire1996)
movies_title(246, ChasingAmy1997)
movies_title(253, PillowBookThe1995)
movies_title(242, Kolya1996)
movies_title(249, AustinPowersInternationalManofMystery1997)
movies_title(251, ShallWeDance1996)
movies_title(323, DantesPeak1997)
movies_title(240, BeavisandButt-headDoAmerica1996)
movies_title(211, MASH1970)
movies_title(216, WhenHarryMetSally1989)
movies_title(220, MirrorHasTwoFacesThe1996)
movies_title(218, CapeFear1991)
movies_title(223, SlingBlade1996)
movies_title(233, UnderSiege1992)
movies_title(248, GrossePointeBlank1997)
movies_title(234, Jaws1975)
movies_title(210, IndianaJonesandtheLastCrusade1989)
movies_title(222, StarTrekFirstContact1996)
movies_title(227, StarTrekVITheUndiscoveredCountry1991)
movies_title(228, StarTrekTheWrathofKhan1982)
movies_title(226, DieHard21990)
movies_title(225, 101Dalmatians1996)
movies_title(243, Jungle2Jungle1997)
movies_title(244, SmillasSenseofSnow1997)
movies_title(269, FullMontyThe1997)
movies_title(263, Steel1997)
movies_title(290, FierceCreatures1997)
movies_title(294, LiarLiar1997)
movies_title(301, InOut1997)
movies_title(291, AbsolutePower1997)
movies_title(288, Scream1996)
movies_title(264, Mimic1997)
movies_title(274, Sabrina1995)
movies_title(262, IntheCompanyofMen1997)
movies_title(272, GoodWillHunting1997)
movies_title(277, Restoration1995)
movies_title(279, OnceUponaTimeWhenWeWereColored1995)
movies_title(314, 3NinjasHighNoonAtMegaMountain1998)
movies_title(266, KulltheConqueror1997)
movies_title(271, StarshipTroopers1997)
movies_title(265, HuntforRedOctoberThe1990)
movies_title(281, RiverWildThe1994)
movies_title(295, Breakdown1997)
movies_title(300, AirForceOne1997)
movies_title(273, Heat1995)
movies_title(298, FaceOff1997)
movies_title(282, TimetoKillA1996)
movies_title(321, Mother1996)
movies_title(335, HowtoBeaPlayer1997)
movies_title(317, IntheNameoftheFather1993)
movies_title(338, Bean1997)
movies_title(341, CriticalCare1997)
movies_title(364, AceVenturaWhenNatureCalls1995)
movies_title(330, 1871997)
movies_title(367, Clueless1995)
