attributes(KPoTixdjoJxSqRSEApSAGg, lunch, true)
attributes(KPoTixdjoJxSqRSEApSAGg, Alcohol, full_bar)
attributes(KPoTixdjoJxSqRSEApSAGg, WaiterService, true)
attributes(KPoTixdjoJxSqRSEApSAGg, Attire, casual)
attributes(KPoTixdjoJxSqRSEApSAGg, Delivery, false)
attributes(KPoTixdjoJxSqRSEApSAGg, GoodforKids, true)
attributes(KPoTixdjoJxSqRSEApSAGg, street, false)
attributes(KPoTixdjoJxSqRSEApSAGg, garage, false)
attributes(KPoTixdjoJxSqRSEApSAGg, lot, true)
attributes(KPoTixdjoJxSqRSEApSAGg, valet, false)
attributes(KPoTixdjoJxSqRSEApSAGg, validated, false)
attributes(KPoTixdjoJxSqRSEApSAGg, Take-out, true)
attributes(KPoTixdjoJxSqRSEApSAGg, AcceptsCreditCards, true)
attributes(KPoTixdjoJxSqRSEApSAGg, PriceRange, 2)
attributes(KPoTixdjoJxSqRSEApSAGg, TakesReservations, true)
attributes(KPoTixdjoJxSqRSEApSAGg, Caters, true)
attributes(KPoTixdjoJxSqRSEApSAGg, NoiseLevel, average)
attributes(KPoTixdjoJxSqRSEApSAGg, classy, false)
attributes(KPoTixdjoJxSqRSEApSAGg, hipster, false)
attributes(KPoTixdjoJxSqRSEApSAGg, touristy, false)
attributes(KPoTixdjoJxSqRSEApSAGg, divey, false)
attributes(KPoTixdjoJxSqRSEApSAGg, casual, true)
attributes(KPoTixdjoJxSqRSEApSAGg, intimate, false)
attributes(KPoTixdjoJxSqRSEApSAGg, romantic, false)
attributes(KPoTixdjoJxSqRSEApSAGg, trendy, false)
attributes(KPoTixdjoJxSqRSEApSAGg, upscale, false)
attributes(KPoTixdjoJxSqRSEApSAGg, dinner, true)
attributes(KPoTixdjoJxSqRSEApSAGg, latenight, false)
attributes(KPoTixdjoJxSqRSEApSAGg, breakfast, false)
attributes(KPoTixdjoJxSqRSEApSAGg, brunch, false)
attributes(KPoTixdjoJxSqRSEApSAGg, dessert, false)
attributes(KPoTixdjoJxSqRSEApSAGg, HasTV, true)
attributes(KPoTixdjoJxSqRSEApSAGg, WheelchairAccessible, true)
attributes(KPoTixdjoJxSqRSEApSAGg, GoodForGroups, true)
attributes(KPoTixdjoJxSqRSEApSAGg, OutdoorSeating, true)
attributes(KPoTixdjoJxSqRSEApSAGg, Wi-Fi, no)
attributes(KPoTixdjoJxSqRSEApSAGg, GoodForKids, true)
attributes(2bZk38_vJCkAVI0f2TeqZQ, ByAppointmentOnly, false)
attributes(2bZk38_vJCkAVI0f2TeqZQ, GoodforKids, false)
attributes(2bZk38_vJCkAVI0f2TeqZQ, WheelchairAccessible, true)
attributes(2bZk38_vJCkAVI0f2TeqZQ, street, false)
attributes(2bZk38_vJCkAVI0f2TeqZQ, garage, false)
attributes(2bZk38_vJCkAVI0f2TeqZQ, lot, false)
attributes(2bZk38_vJCkAVI0f2TeqZQ, valet, false)
attributes(2bZk38_vJCkAVI0f2TeqZQ, validated, false)
attributes(2bZk38_vJCkAVI0f2TeqZQ, PriceRange, 3)
attributes(MwmXm48K2g2oTRe7XmssFw, ByAppointmentOnly, false)
attributes(MwmXm48K2g2oTRe7XmssFw, GoodforKids, true)
attributes(MwmXm48K2g2oTRe7XmssFw, street, false)
attributes(MwmXm48K2g2oTRe7XmssFw, garage, true)
attributes(MwmXm48K2g2oTRe7XmssFw, lot, false)
attributes(MwmXm48K2g2oTRe7XmssFw, valet, false)
